tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Partly cloudy,Rainy,Overcast,Clear,Snow
20.9,15.5,17.6,20.9,15.5,17.6,13.3,76.1,0.0,0,0.0,none,0.0,0.0,35.1,23.0,85.6,1025.0,85.9,15.9,98.3,8.7,3,0.89,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30.0,15.4,20.4,30.8,15.4,20.5,16.6,80.8,12.944,100,16.67,rain,0.0,0.0,59.4,21.2,141.7,1019.5,64.9,10.8,217.5,18.9,10,0.93,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
25.6,18.1,21.7,25.6,18.1,21.7,17.8,78.9,0.0,0,0.0,none,0.0,0.0,47.6,20.8,66.6,1015.6,47.9,15.7,253.7,21.8,9,0.96,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24.2,18.2,21.0,24.2,18.2,21.0,17.2,79.0,0.093,100,20.83,rain,0.0,0.0,24.8,19.2,45.5,1010.6,75.1,12.9,109.0,9.3,4,0.0,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
20.5,15.4,18.0,20.5,15.4,18.0,16.2,89.0,31.416,100,79.17,rain,0.0,0.0,36.7,26.3,35.2,1006.7,90.3,10.7,36.5,3.1,1,0.03,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
25.4,14.8,19.2,25.4,14.8,19.2,12.8,68.1,0.0,0,0.0,none,0.0,0.0,29.5,20.9,22.8,1015.3,69.5,16.0,222.5,19.4,9,0.06,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26.7,16.3,21.1,27.3,16.3,21.1,15.4,71.9,0.006,100,4.17,rain,0.0,0.0,35.3,23.8,186.8,1019.9,33.4,16.0,265.4,23.0,9,0.1,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
22.7,17.7,19.8,22.7,17.7,19.8,15.6,77.1,0.003,100,4.17,rain,0.0,0.0,33.5,23.5,67.2,1020.9,78.3,15.9,104.0,9.0,4,0.13,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
24.4,16.5,20.0,24.4,16.5,20.0,15.2,74.0,0.0,0,0.0,none,0.0,0.0,37.8,17.8,112.7,1021.0,79.6,16.0,130.0,11.3,4,0.17,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27.1,19.8,22.3,28.1,19.8,22.4,17.1,73.2,12.817,100,20.83,rain,0.0,0.0,44.4,32.3,189.6,1016.3,67.5,15.5,212.3,18.2,9,0.21,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
