name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
United States,2024-08-06,33.4,26.0,29.2,39.3,26.0,32.7,23.4,72.1,0.0,0,0.0,,0,0,38.9,26.9,185.1,1013.4,57.7,16.0,191.5,16.5,8,30,2024-08-06T06:14:07,2024-08-06T20:13:19,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-07,31.5,24.9,27.5,35.9,24.9,29.4,22.6,75.2,0.318,100,8.33,rain,0,0,37.1,20.0,145.1,1011.7,89.0,16.0,142.4,12.5,9,30,2024-08-07T06:15:01,2024-08-07T20:12:09,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-08,27.1,24.3,25.9,30.5,24.3,26.2,23.4,86.0,22.392,100,50.0,rain,0,0,37.1,20.0,93.4,1012.6,96.5,13.6,43.8,3.7,2,30,2024-08-08T06:15:55,2024-08-08T20:10:59,0.14,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"C6294,KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-09,28.3,25.5,27.0,32.3,25.5,28.8,23.7,82.4,44.271,100,58.33,rain,0,0,65.8,37.9,174.8,1008.4,90.8,13.9,59.4,5.0,3,30,2024-08-09T06:16:49,2024-08-09T20:09:47,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-10,32.1,23.3,27.8,33.6,23.3,28.7,20.5,66.3,9.891,100,4.17,rain,0,0,48.2,16.4,320.9,1014.2,61.0,16.0,194.8,16.9,9,30,2024-08-10T06:17:43,2024-08-10T20:08:34,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-11,29.2,21.6,24.9,28.6,21.6,24.9,15.6,57.8,0.0,0,0.0,,0,0,38.9,22.7,330.2,1016.7,62.3,15.9,217.3,18.7,10,10,2024-08-11T06:18:37,2024-08-11T20:07:20,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-12,29.2,20.4,24.8,28.6,20.4,24.7,14.0,52.6,0.0,0,0.0,,0,0,34.4,25.4,330.0,1016.7,59.6,15.8,212.3,18.3,9,10,2024-08-12T06:19:32,2024-08-12T20:06:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-13,29.3,20.4,25.0,28.7,20.4,24.8,14.3,53.1,0.0,0,0.0,,0,0,27.7,15.2,346.1,1017.4,62.6,15.9,219.6,18.8,9,10,2024-08-13T06:20:26,2024-08-13T20:04:48,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-14,29.3,19.9,24.8,29.3,19.9,24.8,15.2,56.5,0.0,0,0.0,,0,0,38.9,25.5,346.8,1018.4,33.1,15.2,200.6,17.5,8,10,2024-08-14T06:21:20,2024-08-14T20:03:30,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-15,31.5,20.4,25.9,31.1,20.4,25.8,15.9,55.9,0.0,0,0.0,,0,0,31.7,20.1,0.9,1018.4,35.1,15.7,189.1,16.4,8,10,2024-08-15T06:22:15,2024-08-15T20:02:12,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
