Year,Month,NASA (mm),NASA uncertainty
1993,1,-29.17,
1993,2,-27.86,
1993,3,-24.05,
1993,4,-24.26,
1993,5,-23.76,
1993,6,-23.01,
1993,7,-23.42,
1993,8,-22.28,
1993,9,-25.05,
1993,10,-24.26,
1993,11,-25.60,
1993,12,-20.66,
1994,1,-20.87,
1994,2,-22.59,
1994,3,-19.19,
1994,4,-17.92,
1994,5,-21.65,
1994,6,-19.90,
1994,7,-22.71,
1994,8,-19.09,
1994,9,-19.70,
1994,10,-19.91,
1994,11,-20.89,
1994,12,-16.81,
1995,1,-13.29,
1995,2,-16.63,
1995,3,-14.40,
1995,4,-14.89,
1995,5,-15.86,
1995,6,-14.87,
1995,7,-20.11,
1995,8,-16.38,
1995,9,-13.72,
1995,10,-16.61,
1995,11,-16.43,
1995,12,-18.59,
1996,1,-15.53,
1996,2,-11.46,
1996,3,-13.25,
1996,4,-18.06,
1996,5,-15.00,
1996,6,-15.90,
1996,7,-13.86,
1996,8,-16.75,
1996,9,-17.41,
1996,10,-14.05,
1996,11,-12.36,
1996,12,-17.98,
1997,1,-14.67,
1997,2,-14.17,
1997,3,-13.34,
1997,4,-13.60,
1997,5,-10.38,
1997,6,-12.91,
1997,7,-7.27,
1997,8,-7.93,
1997,9,-5.22,
1997,10,-7.51,
1997,11,-7.01,
1997,12,-10.37,
1998,1,-5.25,
1998,2,-7.00,
1998,3,-8.88,
1998,4,-7.31,
1998,5,-10.90,
1998,6,-11.79,
1998,7,-14.17,
1998,8,-13.15,
1998,9,-15.77,
1998,10,-15.89,
1998,11,-18.82,
1998,12,-14.43,
1999,1,-12.81,
1999,2,-9.52,
1999,3,-12.33,
1999,4,-10.54,
1999,5,-12.20,
1999,6,-12.27,
1999,7,-11.28,
1999,8,-9.06,
1999,9,-8.98,
1999,10,-7.04,
1999,11,-8.94,
1999,12,-6.01,
2000,1,-2.54,
2000,2,-4.79,
2000,3,-5.32,
2000,4,-5.89,
2000,5,-6.79,
2000,6,-6.93,
2000,7,-7.19,
2000,8,-6.76,
2000,9,-4.76,
2000,10,-2.80,
2000,11,-1.93,
2000,12,-5.41,
2001,1,1.33,
2001,2,-1.91,
2001,3,1.14,
2001,4,0.42,
2001,5,0.99,
2001,6,-0.31,
2001,7,3.78,
2001,8,1.08,
2001,9,3.96,
2001,10,0.46,
2001,11,2.44,
2001,12,0.76,
2002,1,3.93,
2002,2,4.81,
2002,3,1.67,
2002,4,2.31,
2002,5,2.77,
2002,6,1.67,
2002,7,1.88,
2002,8,4.28,
2002,9,1.55,
2002,10,3.98,
2002,11,3.80,
2002,12,1.71,
2003,1,4.50,
2003,2,7.26,
2003,3,5.36,
2003,4,5.36,
2003,5,5.32,
2003,6,3.87,
2003,7,4.56,
2003,8,3.72,
2003,9,5.00,
2003,10,5.19,
2003,11,1.88,
2003,12,4.89,
2004,1,10.01,
2004,2,6.83,
2004,3,6.44,
2004,4,8.48,
2004,5,3.85,
2004,6,5.84,
2004,7,7.21,
2004,8,7.58,
2004,9,8.09,
2004,10,6.27,
2004,11,6.18,
2004,12,9.11,
2005,1,9.16,
2005,2,12.33,
2005,3,12.62,
2005,4,11.77,
2005,5,12.92,
2005,6,12.27,
2005,7,12.32,
2005,8,10.84,
2005,9,11.37,
2005,10,9.34,
2005,11,13.29,
2005,12,11.74,
2006,1,12.18,
2006,2,12.14,
2006,3,10.79,
2006,4,10.56,
2006,5,13.38,
2006,6,13.86,
2006,7,14.98,
2006,8,12.01,
2006,9,14.66,
2006,10,13.80,
2006,11,12.36,
2006,12,13.15,
2007,1,13.89,
2007,2,15.93,
2007,3,13.65,
2007,4,17.12,
2007,5,13.97,
2007,6,14.17,
2007,7,12.48,
2007,8,12.83,
2007,9,10.33,
2007,10,11.57,
2007,11,13.99,
2007,12,12.30,
2008,1,15.80,
2008,2,12.99,
2008,3,13.73,
2008,4,13.06,
2008,5,17.49,
2008,6,19.15,
2008,7,17.98,
2008,8,16.81,
2008,9,14.77,
2008,10,16.01,
2008,11,15.93,
2008,12,16.67,
2009,1,18.89,
2009,2,18.67,
2009,3,20.03,
2009,4,19.67,
2009,5,19.57,
2009,6,19.97,
2009,7,20.82,
2009,8,21.58,
2009,9,22.71,
2009,10,23.07,
2009,11,25.12,
2009,12,22.63,
2010,1,24.44,
2010,2,24.97,
2010,3,25.35,
2010,4,23.70,
2010,5,26.27,
2010,6,27.12,
2010,7,24.02,
2010,8,20.66,
2010,9,18.14,
2010,10,18.36,
2010,11,16.96,
2010,12,17.31,
2011,1,19.66,
2011,2,20.50,
2011,3,17.48,
2011,4,18.33,
2011,5,19.06,
2011,6,22.82,
2011,7,22.05,
2011,8,26.34,
2011,9,22.65,
2011,10,23.92,
2011,11,21.61,
2011,12,23.75,
2012,1,30.00,
2012,2,30.94,
2012,3,28.05,
2012,4,29.79,
2012,5,30.25,
2012,6,32.78,
2012,7,34.67,
2012,8,32.92,
2012,9,34.32,
2012,10,34.00,
2012,11,34.42,
2012,12,36.09,
2013,1,38.40,
2013,2,38.26,
2013,3,37.74,
2013,4,35.41,
2013,5,34.54,
2013,6,33.57,
2013,7,33.10,
2013,8,31.97,
2013,9,32.54,
2013,10,32.78,
2013,11,35.42,
2013,12,32.47,
2014,1,38.12,
